mnemonic,unit,value,descr,API,file,MaxDepth
BHT,DEGF,185.0,Bottom Hole Temperature (used in calculations),0500109656,0500109656_2866470.las,8242.5
MRT,DEGF,185.0,Maximum Recorded Temperature,0500109656,0500109656_2866470.las,8242.5
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0500109656,0500109656_2866471.las,8141.5
MRT,DEGF,229.0,Maximum Recorded Temperature,0500109656,0500109656_2866471.las,8141.5
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0500109662,0500109662_2866476.las,8267.5
MRT,,,Maximum Recorded Temperature,0500109662,0500109662_2866476.las,8267.5
BHT,DEGF,200.56,Bottom Hole Temperature,0500109662,0500109662_2866477.las,8298.5
MRT,DEGF,200.56,Maximum Recorded Temperature,0500109662,0500109662_2866477.las,8298.5
BHT,degF,215.0,BottomHole Temp,0500109676,0500109676_2594020.las,8832.0
MRT,degF,219.0,Maximum Recorded Temperature,0500109676,0500109676_2594020.las,8832.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0500109680,0500109680_2766080.las,7506.0
MRT,DEGF,182.0,Maximum Recorded Temperature,0500109680,0500109680_2766080.las,7506.0
BHT,DEGF,195.0,Bottom Hole Temperature (used in calculations),0500109681,0500109681_2582984.LAS,7422.0
MRT,DEGF,195.0,Maximum Recorded Temperature,0500109681,0500109681_2582984.LAS,7422.0
BHT:1,degF,200.0,Bottom Hole Temperature,0500109689,0500109689_2596182.las,8612.0
BHT:2,degF,200.0,Bottom Hole Temperature,0500109689,0500109689_2596182.las,8612.0
BHT,degF,200.0,Bottom Hole Temperature,0500109689,0500109689_2596183.las,8610.0
BHT,DEGF,141.0,Bottom Hole Temperature (used in calculations),0500109690,0500109690_3322396.las,6589.5
MRT,DEGF,141.0,Maximum Recorded Temperature,0500109690,0500109690_3322396.las,6589.5
BHT:1,degF,200.0,Bottom Hole Temperature,0500109713,0500109713_2630321.las,8447.0
BHT:2,degF,214.0,Bottom Hole Temperature,0500109713,0500109713_2630321.las,8447.0
BHT:1,degF,200.0,Bottom Hole Temperature,0500109717,0500109717_2644805.las,9008.0
BHT:2,degF,225.0,Bottom Hole Temperature,0500109717,0500109717_2644805.las,9008.0
BHT:1,,212,BHT                       | RUN[1],0500109740,0500109740_3022046.las,9558.0
MRT:1,,-999.25,Max Rec Temp              | RUN[1],0500109740,0500109740_3022046.las,9558.0
BHT:2,,207,BHT                       | RUN[3],0500109740,0500109740_3022046.las,9558.0
MRT:2,,207,Max Rec Temp              | RUN[3],0500109740,0500109740_3022046.las,9558.0
BHT,DEGF,212.0,Bottom Hole Temperature,0500109753,0500109753_3102196.las,11404.5
MRT,DEGF,-999.25,Maximum Recorded Temperature,0500109753,0500109753_3102196.las,11404.5
BHT,DEGF,195.39999,Bottom Hole Temperature,0500109753,0500109753_3102197.las,8289.0
MRT,DEGF,195.39999,Maximum Recorded Temperature,0500109753,0500109753_3102197.las,8289.0
BHT,DEGF,195.39999,Bottom Hole Temperature,0500109753,0500109753_3749559.las,8289.0
MRT,DEGF,195.39999,Maximum Recorded Temperature,0500109753,0500109753_3749559.las,8289.0
BHT,DEGF,195.39999,Bottom Hole Temperature,0500109753,0500109753_3749588.las,8297.0
MRT,DEGF,195.39999,Maximum Recorded Temperature,0500109753,0500109753_3749588.las,8297.0
BHT,DEGF,195.39999,Bottom Hole Temperature,0500109753,0500109753_3749590.las,8289.0
MRT,DEGF,195.39999,Maximum Recorded Temperature,0500109753,0500109753_3749590.las,8289.0
BHT,DEGF,148.57001,Bottom Hole Temperature,0500109770,0500109770_3715781.las,5569.0
MRT,DEGF,148.57001,Maximum Recorded Temperature,0500109770,0500109770_3715781.las,5569.0
BHT,DEGF,145.0,Bottom Hole Temperature,0500109771,0500109771_3526448.las,5537.5
MRT,DEGF,145.0,Maximum Recorded Temperature,0500109771,0500109771_3526448.las,5537.5
MRT,,HCIM,Maximum Recorded Temperature,0500109779,0500109779_3388827.las,7847.0
MRT,,HCIM,Maximum Recorded Temperature,0500109779,0500109779_3388830.las,11844.0
BHT,DEGF,160.0,Bottom Hole Temperature (used in calculations),0500507117,0500507117_2577378.LAS,7590.0
MRT,DEGF,160.0,Maximum Recorded Temperature,0500507117,0500507117_2577378.LAS,7590.0
BHT,DEGF,160.0,Bottom Hole Temperature (used in calculations),0500507117,0500507117_2577379.LAS,7607.0
MRT,DEGF,160.0,Maximum Recorded Temperature,0500507117,0500507117_2577379.LAS,7607.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0500507128,0500507128_2646022.las,7363.5
MRT,,,Maximum Recorded Temperature,0500507128,0500507128_2646022.las,7363.5
BHT,DEGF,222.0,Bottom Hole Temperature,0500507165,0500507165_3202587.las,6800.0
MRT,DEGF,222.0,Maximum Recorded Temperature,0500507165,0500507165_3202587.las,6800.0
MRT,degF,225.0,Maximum Recorded Temperature,0500507168,0500507168_3254287.las,8781.5
BHT,degF,225.0,BottomHole Temp,0500507168,0500507168_3254287.las,8781.5
BHT,DEGF,200.0,Bottom Hole Temperature (used in calculations),0500507178,0500507178_3177984.las,7250.5
MRT,,,Maximum Recorded Temperature,0500507178,0500507178_3177984.las,7250.5
BHT,DEGF,222.0,Bottom Hole Temperature,0500507179,0500507179_3178000.las,8018.0
MRT,DEGF,222.99998,Maximum Recorded Temperature,0500507179,0500507179_3178000.las,8018.0
BHT,DEGF,222.0,Bottom Hole Temperature,0500507179,0500507179_3178001.las,8028.5
MRT,DEGF,222.99998,Maximum Recorded Temperature,0500507179,0500507179_3178001.las,8028.5
BHT,DEGF,220.0,Bottom Hole Temperature (used in calculations),0500507179,0500507179_3178016.las,6865.5
MRT,,,Maximum Recorded Temperature,0500507179,0500507179_3178016.las,6865.5
MRT,,HCIM,Maximum Recorded Temperature,0500507180,0500507180_3248316.las,12141.0
BOTTEMP,DEGF,159.0,Bottom Hole Temperature,0500507182,0500507182_2968392.las,7935.0
BHT,DEGF,195.0,Bottom Hole Temperature,0500507182,0500507182_2968395.las,9667.5
MRT,DEGF,195.0,Maximum Recorded Temperature,0500507182,0500507182_2968395.las,9667.5
BHT,DEGF,195.0,Bottom Hole Temperature,0500507182,0500507182_3504428.las,9667.5
MRT,DEGF,195.0,Maximum Recorded Temperature,0500507182,0500507182_3504428.las,9667.5
BHT,degF,224.0,BottomHole Temp,0500507189,0500507189_3320492.las,8221.0
MRT,degF,224.0,Maximum Recorded Temperature,0500507189,0500507189_3320492.las,8221.0
MRT,,PCM,Maximum Recorded Temperature,0500507191,0500507191_3349402.las,12116.0
BHT,DEGF,215.0,Bottom Hole Temperature (used in calculations),0500507199,0500507199_3200842.las,7980.0
MRT,DEGF,200.0,Maximum Recorded Temperature,0500507199,0500507199_3200842.las,7980.0
BHT,DEGF,221.0,Bottom Hole Temperature,0500507202,0500507202_3202605.las,7833.5
MRT,DEGF,221.0,Maximum Recorded Temperature,0500507202,0500507202_3202605.las,7833.5
BHT,DEGF,221.0,Bottom Hole Temperature,0500507202,0500507202_3202606.las,7833.5
MRT,DEGF,221.0,Maximum Recorded Temperature,0500507202,0500507202_3202606.las,7833.5
BHT,degF,225.0,BottomHole Temp,0500507204,0500507204_4141238.las,7654.75
MRT,degF,225.0,Maximum Recorded Temperature,0500507204,0500507204_4141238.las,7654.75
MRT,degF,215.0,Maximum Recorded Temperature,0500507207,0500507207_3980988.las,8043.5
BHT,degF,209.0,BottomHole Temp,0500507207,0500507207_3980988.las,8043.5
MRT,degF,215.0,Maximum Recorded Temperature,0500507207,0500507207_4031499.las,8044.0
BHT,degF,209.0,BottomHole Temp,0500507207,0500507207_4031499.las,8044.0
BHT,degF,218.0,BottomHole Temp,0500507208,0500507208_3923638.las,8020.0
MRT,degF,218.0,Maximum Recorded Temperature,0500507208,0500507208_3923638.las,8020.0
MRT,,PCM,Maximum Recorded Temperature,0500507209,0500507209_3303554.las,12436.0
MRT,,HCIM,Maximum Recorded Temperature,0500507210,0500507210_3289197.las,9800.0
MRT,degF,247.0,Maximum Recorded Temperature,0500507210,0500507210_3289201.las,9816.0
BHT,degF,247.0,BottomHole Temp,0500507210,0500507210_3289201.las,9816.0
