API_Label,Latitude,Longitude,geometry
05-057-05000,40.775932,-106.253831,POINT (394193 4514640)
05-057-05001,40.437766,-106.267009,POINT (392541 4477118)
05-057-05002,40.440236,-106.201067,POINT (398138 4477314)
05-057-05003,40.441426,-106.271739,POINT (392146 4477530)
05-057-05004,40.441457,-106.276447,POINT (391746 4477539)
05-057-05005,40.449524,-106.279979,POINT (391460 4478439)
05-057-05006,40.474786,-106.265509,POINT (392727 4481225)
05-057-05007,40.483973,-106.299482,POINT (389862 4482287)
05-057-05008,40.488266,-106.218738,POINT (396712 4482666)
05-057-05009,40.502385,-106.397683,POINT (381571 4484458)
05-057-05010,40.503015,-106.27612,POINT (391873 4484372)
05-057-05011,40.779573,-106.135888,POINT (404152 4514909)
05-057-05012,40.507195,-106.386583,POINT (382520 4484977)
05-057-05013,40.51109,-106.454733,POINT (376753 4485502)
05-057-05014,40.522675,-106.448454,POINT (377306 4486779)
05-057-05015,40.539594,-106.5415,POINT (369457 4488791)
05-057-05016,40.535743,-106.446602,POINT (377487 4488227)
05-057-05017,40.539354,-106.441767,POINT (377903 4488622)
05-057-05018,40.542981,-106.441194,POINT (377958 4489023)
05-057-05019,40.623085,-106.097085,POINT (407209 4497496)
05-057-05020,40.624725,-106.177529,POINT (400407 4497766)
05-057-05021,40.654364,-106.124396,POINT (404943 4500997)
05-057-05022,40.675532,-106.55104,POINT (368915 4503896)
05-057-05023,40.678102,-106.537209,POINT (370089 4504160)
05-057-05024,40.696752,-106.093698,POINT (407597 4505670)
05-057-05025,40.687494,-106.133657,POINT (404208 4504685)
05-057-05026,40.688784,-106.522403,POINT (371361 4505324)
05-057-05027,40.696867,-106.073383,POINT (409314 4505661)
05-057-05028,40.701098,-106.163562,POINT (401701 4506228)
05-057-05029,40.715954,-106.530155,POINT (370758 4508352)
05-057-05031,40.711805,-106.133751,POINT (404235 4507384)
05-057-05033,40.714354,-106.131427,POINT (404435 4507664)
05-057-05034,40.719114,-106.137517,POINT (403927 4508199)
05-057-05035,40.721873,-106.143407,POINT (403434 4508512)
05-057-05036,40.727193,-106.22162,POINT (396836 4509191)
05-057-05037,40.732653,-106.167038,POINT (401454 4509735)
05-057-05038,40.732744,-106.1432,POINT (403467 4509718)
05-057-05039,40.736309,-106.152713,POINT (402669 4510125)
05-057-05040,40.736103,-106.152714,POINT (402668 4510102)
05-057-05042,40.739803,-106.167128,POINT (401457 4510528)
05-057-05043,40.739823,-106.176879,POINT (400633 4510542)
05-057-05044,40.73986,-106.157561,POINT (402265 4510524)
05-057-05045,40.743483,-106.157618,POINT (402265 4510926)
05-057-05046,40.746963,-106.190099,POINT (399528 4511349)
