DEPT,GR,GRTO,POTA,THOR,URAN
565.0,16.0954,12.078,0.1604,1.4872,1.2015
565.5,13.7402,13.0777,0.1773,1.547,1.2832
566.0,13.9721,13.7841,0.187,1.6014,1.3318
566.5,15.1243,12.8703,0.1728,1.447,1.2563
567.0,14.8489,12.1924,0.1472,1.3372,1.2067
567.5,13.3996,11.6045,0.1366,1.2601,1.1387
568.0,11.2182,11.8135,0.1346,1.2476,1.1602
568.5,11.2835,11.237,0.1335,1.1708,1.0972
569.0,11.2617,11.4822,0.1434,1.1774,1.1074
569.5,11.6458,11.1893,0.1516,1.1406,1.0471
570.0,12.9647,10.9934,0.1537,1.1328,0.9978
570.5,13.3778,10.4865,0.1517,1.0987,0.9304
571.0,12.414,9.7978,0.1489,1.0635,0.8339
571.5,11.7545,10.1966,0.1683,1.1093,0.8247
572.0,11.3704,11.0846,0.2002,1.2073,0.8324
572.5,10.6312,11.3151,0.2216,1.2115,0.793
573.0,11.5154,10.2039,0.2067,1.0059,0.7331
573.5,11.3197,8.3727,0.1755,0.7509,0.6148
574.0,9.421,7.8678,0.1731,0.6258,0.581
574.5,8.1673,7.7843,0.1869,0.5889,0.563
575.0,7.5658,7.719,0.1997,0.5505,0.5449
575.5,7.0223,7.2458,0.192,0.5023,0.5114
576.0,6.8918,6.3974,0.1692,0.444,0.4553
576.5,6.0584,6.4879,0.1664,0.4101,0.4899
577.0,5.9715,6.525,0.1675,0.3632,0.5086
577.5,6.7976,6.6119,0.1691,0.3148,0.5369
578.0,6.6309,6.442,0.1621,0.2704,0.5434
578.5,8.0151,6.4967,0.1513,0.2557,0.6068
579.0,9.7978,6.2702,0.127,0.2378,0.6606
579.5,9.6239,6.2096,0.1047,0.2226,0.732
580.0,7.8919,5.9863,0.0888,0.2008,0.7484
580.5,6.4425,6.0159,0.0836,0.1996,0.7738
581.0,6.8701,5.9065,0.0865,0.1913,0.7556
581.5,7.6527,5.9085,0.0878,0.1828,0.7644
582.0,6.8338,5.1608,0.0729,0.175,0.6704
582.5,4.812,4.7614,0.0619,0.1637,0.6332
583.0,4.3482,4.8224,0.0639,0.1697,0.6398
583.5,6.2758,5.3242,0.073,0.197,0.7027
584.0,7.8267,6.4326,0.0907,0.2265,0.8565
584.5,7.8484,6.7699,0.087,0.2271,0.9258
585.0,6.8194,6.6361,0.0737,0.2125,0.9404
585.5,6.8194,6.1878,0.0619,0.189,0.8944
586.0,8.6456,5.8398,0.0653,0.1801,0.8245
586.5,9.6456,6.397,0.0827,0.1891,0.8721
587.0,9.2833,7.2304,0.0999,0.2089,0.9747
587.5,8.7253,8.0824,0.1092,0.2483,1.0838
588.0,7.5223,8.1143,0.109,0.2566,1.0814
588.5,6.2251,7.1163,0.0981,0.2604,0.9057
589.0,6.0657,7.1248,0.0987,0.2659,0.8667
589.5,5.6309,7.1484,0.0992,0.2944,0.831
590.0,5.0656,7.0853,0.0982,0.2989,0.8117
590.5,6.2251,6.887,0.0911,0.3077,0.7944
591.0,6.9136,6.2001,0.0803,0.2767,0.7208
591.5,6.6672,6.5707,0.0817,0.3067,0.7603
592.0,7.102,6.9968,0.0866,0.3216,0.8118
592.5,7.0223,7.1975,0.0875,0.301,0.8678
593.0,5.4642,7.1786,0.0833,0.2825,0.8972
593.5,4.9134,7.1686,0.0836,0.2433,0.9293
594.0,5.9715,6.6385,0.0826,0.2156,0.8595
594.5,7.9499,6.5711,0.0973,0.216,0.8107
595.0,9.2108,6.1814,0.104,0.2061,0.7234
595.5,8.5586,5.6649,0.1047,0.1888,0.6378
596.0,7.4716,5.6623,0.1073,0.1845,0.637
596.5,6.37,4.7872,0.0878,0.1599,0.5436
597.0,5.4787,5.3166,0.0947,0.1898,0.6017
597.5,5.9932,5.8426,0.1057,0.1997,0.6674
598.0,6.5295,6.6826,0.1266,0.2163,0.7694
598.5,5.3482,7.0147,0.1381,0.185,0.8451
599.0,4.2394,6.2448,0.1313,0.1302,0.7752
599.5,5.0946,5.5575,0.1245,0.0978,0.7011
600.0,6.9353,5.1893,0.1253,0.0834,0.6399
600.5,8.276,6.0325,0.1546,0.1112,0.7174
601.0,9.6022,6.7657,0.1822,0.1514,0.7868
601.5,10.1602,6.9832,0.1922,0.2199,0.7895
602.0,9.7326,6.7255,0.1847,0.2597,0.7536
602.5,9.3413,6.2251,0.1709,0.2651,0.6938
603.0,10.1095,6.2069,0.1698,0.2867,0.6859
603.5,10.6312,5.7995,0.155,0.2817,0.6552
604.0,8.5006,5.358,0.1376,0.2743,0.6192
604.5,6.5947,5.3024,0.1258,0.2745,0.6322
605.0,6.7541,5.5105,0.1211,0.2885,0.6758
605.5,6.8411,6.0368,0.1255,0.322,0.7452
606.0,7.131,5.9582,0.1233,0.3193,0.7354
606.5,7.9209,5.6898,0.1212,0.3051,0.6899
607.0,8.3992,5.4372,0.1192,0.2855,0.6586
607.5,9.2616,5.4475,0.1236,0.2911,0.6586
608.0,8.2397,5.7847,0.1262,0.3204,0.714
608.5,5.5946,5.4913,0.1101,0.3031,0.7222
609.0,5.0439,5.4925,0.0995,0.3007,0.7787
609.5,7.0875,5.5409,0.0913,0.2946,0.8285
610.0,8.3267,5.5312,0.0823,0.2952,0.8581
610.5,7.1237,6.1847,0.0807,0.3288,0.9972
611.0,5.841,5.7214,0.0671,0.2618,0.9583
611.5,6.1092,5.3269,0.0543,0.2221,0.9316
612.0,6.544,5.2049,0.0486,0.2275,0.9193
612.5,6.2686,5.4249,0.0464,0.2724,0.9472
613.0,6.3266,5.8417,0.051,0.3638,0.9732
613.5,6.9498,6.4568,0.0572,0.4254,1.0432
614.0,7.0657,6.6523,0.0597,0.4619,1.0464
614.5,6.7179,6.7267,0.0583,0.4995,1.0536
615.0,6.6744,6.5201,0.0531,0.4843,1.0479
615.5,6.2396,5.8686,0.0456,0.425,0.9724
616.0,6.2758,4.9886,0.0383,0.3601,0.834
616.5,7.5223,4.897,0.0313,0.3644,0.8305
617.0,7.8122,4.9881,0.0234,0.4032,0.8642
617.5,6.986,5.3811,0.0196,0.4649,0.9368
618.0,6.3845,5.9399,0.0247,0.5075,1.0287
618.5,6.8918,5.3985,0.0258,0.4562,0.9132
619.0,6.0729,5.0854,0.0283,0.4354,0.8084
619.5,4.9931,4.9447,0.0311,0.4304,0.7318
620.0,5.2178,5.6589,0.0433,0.5071,0.7717
620.5,5.783,6.6812,0.0627,0.6025,0.8501
